date,future_data
2019-06-06,7.475324
2019-06-07,7.371477
2019-06-08,7.2420425
2019-06-09,7.116128
2019-06-10,7.0061426
2019-06-11,6.9029946
2019-06-12,6.8026457
2019-06-13,6.7043257
2019-06-14,6.609025
2019-06-15,6.515455
2019-06-16,6.422249
2019-06-17,6.330637
2019-06-18,6.2413936
2019-06-19,6.152179
2019-06-20,6.0647078
2019-06-21,5.977482
2019-06-22,5.891699
2019-06-23,5.806552
2019-06-24,5.7217627
2019-06-25,5.6379204
2019-06-26,5.5545077
2019-06-27,5.47162
2019-06-28,5.3887634
2019-06-29,5.305926
2019-06-30,5.224036
2019-07-01,5.1416225
2019-07-02,5.0601325
2019-07-03,4.978063
2019-07-04,4.8967075
2019-07-05,4.8158803
