date,future_data
2019-06-06,2.5143347
2019-06-07,2.505713
2019-06-08,2.509653
2019-06-09,2.5240803
2019-06-10,2.539687
2019-06-11,2.5545652
2019-06-12,2.5718799
2019-06-13,2.5870576
2019-06-14,2.604079
2019-06-15,2.6174426
2019-06-16,2.6318946
2019-06-17,2.6470213
2019-06-18,2.660921
2019-06-19,2.6749008
2019-06-20,2.688334
2019-06-21,2.7010286
2019-06-22,2.7139146
2019-06-23,2.7266128
2019-06-24,2.738579
2019-06-25,2.7501516
2019-06-26,2.7613513
2019-06-27,2.7722611
2019-06-28,2.7829235
2019-06-29,2.7932293
2019-06-30,2.8033495
2019-07-01,2.8130937
2019-07-02,2.8225584
2019-07-03,2.8317096
2019-07-04,2.840526
2019-07-05,2.8489974
