date,future_data
2019-06-06,9.700091
2019-06-07,9.610785
2019-06-08,9.524415
2019-06-09,9.478878
2019-06-10,9.435235
2019-06-11,9.387758
2019-06-12,9.332398
2019-06-13,9.283712
2019-06-14,9.237108
2019-06-15,9.193016
2019-06-16,9.156778
2019-06-17,9.121116
2019-06-18,9.086735
2019-06-19,9.054223
2019-06-20,9.023279
2019-06-21,8.994164
2019-06-22,8.966962
2019-06-23,8.941485
2019-06-24,8.917496
2019-06-25,8.894627
2019-06-26,8.87316
2019-06-27,8.852795
2019-06-28,8.833686
2019-06-29,8.8157625
2019-06-30,8.798825
2019-07-01,8.782901
2019-07-02,8.767784
2019-07-03,8.753591
2019-07-04,8.740174
2019-07-05,8.727561
