date,future_data
2019-06-06,12.12361
2019-06-07,12.122119
2019-06-08,12.089099
2019-06-09,12.007198
2019-06-10,11.88717
2019-06-11,11.787408
2019-06-12,11.69472
2019-06-13,11.599013
2019-06-14,11.497232
2019-06-15,11.3977585
2019-06-16,11.280061
2019-06-17,11.16835
2019-06-18,11.0307255
2019-06-19,10.910065
2019-06-20,10.77794
2019-06-21,10.642248
2019-06-22,10.507021
2019-06-23,10.376081
2019-06-24,10.249802
2019-06-25,10.12974
2019-06-26,10.019127
2019-06-27,9.917721
2019-06-28,9.827244
2019-06-29,9.747507
2019-06-30,9.677641
2019-07-01,9.6179695
2019-07-02,9.565844
2019-07-03,9.520903
2019-07-04,9.482415
2019-07-05,9.44861
