date,future_data
2019-06-06,11.896344
2019-06-07,11.840943
2019-06-08,11.705781
2019-06-09,11.458959
2019-06-10,11.248834
2019-06-11,11.004555
2019-06-12,10.772072
2019-06-13,10.571757
2019-06-14,10.402519
2019-06-15,10.292754
2019-06-16,10.218184
2019-06-17,10.126738
2019-06-18,10.021657
2019-06-19,9.901505
2019-06-20,9.752367
2019-06-21,9.592206
2019-06-22,9.435611
2019-06-23,9.299268
2019-06-24,9.211346
2019-06-25,9.170639
2019-06-26,9.113781
2019-06-27,9.021238
2019-06-28,8.935867
2019-06-29,8.877692
2019-06-30,8.841152
2019-07-01,8.81858
2019-07-02,8.803969
2019-07-03,8.792862
2019-07-04,8.782029
2019-07-05,8.770626
