date,future_data
2019-06-06,9.380972
2019-06-07,9.304543
2019-06-08,9.246876
2019-06-09,9.243748
2019-06-10,9.256328
2019-06-11,9.260663
2019-06-12,9.259223
2019-06-13,9.252049
2019-06-14,9.24794
2019-06-15,9.247097
2019-06-16,9.250053
2019-06-17,9.246897
2019-06-18,9.245934
2019-06-19,9.241687
2019-06-20,9.239967
2019-06-21,9.238724
2019-06-22,9.236189
2019-06-23,9.233455
2019-06-24,9.231025
2019-06-25,9.228243
2019-06-26,9.225515
2019-06-27,9.222522
2019-06-28,9.219574
2019-06-29,9.215941
2019-06-30,9.212635
2019-07-01,9.209081
2019-07-02,9.205174
2019-07-03,9.20114
2019-07-04,9.196615
2019-07-05,9.192472
