date,future_data
2019-06-06,8.052486
2019-06-07,8.063022
2019-06-08,8.075035
2019-06-09,8.093143
2019-06-10,8.1159725
2019-06-11,8.133752
2019-06-12,8.150682
2019-06-13,8.168719
2019-06-14,8.184197
2019-06-15,8.198934
2019-06-16,8.212597
2019-06-17,8.224203
2019-06-18,8.235686
2019-06-19,8.244792
2019-06-20,8.253778
2019-06-21,8.261736
2019-06-22,8.268487
2019-06-23,8.274551
2019-06-24,8.279833
2019-06-25,8.284521
2019-06-26,8.288474
2019-06-27,8.291956
2019-06-28,8.294905
2019-06-29,8.29745
2019-06-30,8.299564
2019-07-01,8.301208
2019-07-02,8.302848
2019-07-03,8.304069
2019-07-04,8.305082
2019-07-05,8.305972
