date,future_data
2019-06-06,8.159586
2019-06-07,8.08935
2019-06-08,7.9612775
2019-06-09,7.839616
2019-06-10,7.6926613
2019-06-11,7.5181236
2019-06-12,7.3332157
2019-06-13,7.1323886
2019-06-14,6.91683
2019-06-15,6.690161
2019-06-16,6.456696
2019-06-17,6.2121444
2019-06-18,5.960628
2019-06-19,5.7024593
2019-06-20,5.4363265
2019-06-21,5.1631975
2019-06-22,4.8820724
2019-06-23,4.5921874
2019-06-24,4.294931
2019-06-25,3.9920673
2019-06-26,3.683765
2019-06-27,3.3741274
2019-06-28,3.0638075
2019-06-29,2.7591162
2019-06-30,2.4608831
2019-07-01,2.1734476
2019-07-02,1.9003677
2019-07-03,1.6453114
2019-07-04,1.4109392
2019-07-05,1.1981611
