date,future_data
2019-06-06,11.747452
2019-06-07,11.567976
2019-06-08,11.412806
2019-06-09,11.274921
2019-06-10,11.126127
2019-06-11,10.969206
2019-06-12,10.815266
2019-06-13,10.648582
2019-06-14,10.474354
2019-06-15,10.298963
2019-06-16,10.122322
2019-06-17,9.932344
2019-06-18,9.730712
2019-06-19,9.512281
2019-06-20,9.278527
2019-06-21,9.028954
2019-06-22,8.7624035
2019-06-23,8.483008
2019-06-24,8.195225
2019-06-25,7.903902
2019-06-26,7.615487
2019-06-27,7.3376875
2019-06-28,7.0787773
2019-06-29,6.8418493
2019-06-30,6.630862
2019-07-01,6.446684
2019-07-02,6.2907343
2019-07-03,6.1605673
2019-07-04,6.057419
2019-07-05,5.9750595
