date,future_data
2019-06-06,3.643849
2019-06-07,3.5973434
2019-06-08,3.5538263
2019-06-09,3.5123343
2019-06-10,3.4730363
2019-06-11,3.4337163
2019-06-12,3.3979993
2019-06-13,3.369676
2019-06-14,3.3404298
2019-06-15,3.3116317
2019-06-16,3.2838006
2019-06-17,3.2569952
2019-06-18,3.2316031
2019-06-19,3.207786
2019-06-20,3.1845908
2019-06-21,3.1628242
2019-06-22,3.1418672
2019-06-23,3.1220527
2019-06-24,3.1029525
2019-06-25,3.0852256
2019-06-26,3.0689216
2019-06-27,3.0529137
2019-06-28,3.0373945
2019-06-29,3.0231438
2019-06-30,3.0099015
2019-07-01,2.9972653
2019-07-02,2.9851031
2019-07-03,2.9736938
2019-07-04,2.9624472
2019-07-05,2.952076
