date,future_data
2019-06-06,4.8910093
2019-06-07,4.8588076
2019-06-08,4.8461685
2019-06-09,4.826095
2019-06-10,4.8012333
2019-06-11,4.780059
2019-06-12,4.770607
2019-06-13,4.7584925
2019-06-14,4.7402325
2019-06-15,4.7225785
2019-06-16,4.709168
2019-06-17,4.691293
2019-06-18,4.675847
2019-06-19,4.6593533
2019-06-20,4.6431656
2019-06-21,4.627793
2019-06-22,4.612551
2019-06-23,4.5982122
2019-06-24,4.582592
2019-06-25,4.567471
2019-06-26,4.5529795
2019-06-27,4.538291
2019-06-28,4.523884
2019-06-29,4.50951
2019-06-30,4.4950757
2019-07-01,4.4814496
2019-07-02,4.4674735
2019-07-03,4.4538445
2019-07-04,4.4406276
2019-07-05,4.4273653
