date,future_data
2019-06-06,8.703071
2019-06-07,8.59716
2019-06-08,8.568491
2019-06-09,8.569248
2019-06-10,8.559825
2019-06-11,8.531476
2019-06-12,8.508335
2019-06-13,8.489642
2019-06-14,8.46909
2019-06-15,8.44662
2019-06-16,8.424275
2019-06-17,8.401986
2019-06-18,8.380041
2019-06-19,8.357076
2019-06-20,8.334219
2019-06-21,8.311252
2019-06-22,8.287639
2019-06-23,8.264196
2019-06-24,8.240932
2019-06-25,8.217581
2019-06-26,8.193302
2019-06-27,8.16901
2019-06-28,8.144426
2019-06-29,8.118954
2019-06-30,8.093588
2019-07-01,8.067612
2019-07-02,8.041894
2019-07-03,8.01571
2019-07-04,7.989462
2019-07-05,7.9631014
