date,future_data
2019-06-06,9.476101
2019-06-07,9.532785
2019-06-08,9.592854
2019-06-09,9.663977
2019-06-10,9.729896
2019-06-11,9.777921
2019-06-12,9.805574
2019-06-13,9.816524
2019-06-14,9.815765
2019-06-15,9.810361
2019-06-16,9.807179
2019-06-17,9.809426
2019-06-18,9.818654
2019-06-19,9.834339
2019-06-20,9.853597
2019-06-21,9.874011
2019-06-22,9.892585
2019-06-23,9.9077835
2019-06-24,9.918756
2019-06-25,9.926138
2019-06-26,9.930507
2019-06-27,9.933334
2019-06-28,9.936382
2019-06-29,9.940014
2019-06-30,9.9447365
2019-07-01,9.950477
2019-07-02,9.9571
2019-07-03,9.963932
2019-07-04,9.970203
2019-07-05,9.975487
