date,future_data
2019-06-06,13.18935
2019-06-07,13.2724085
2019-06-08,13.331923
2019-06-09,13.388838
2019-06-10,13.443733
2019-06-11,13.5026455
2019-06-12,13.557661
2019-06-13,13.61219
2019-06-14,13.660945
2019-06-15,13.706758
2019-06-16,13.751158
2019-06-17,13.785669
2019-06-18,13.818501
2019-06-19,13.8459015
2019-06-20,13.868386
2019-06-21,13.886683
2019-06-22,13.900038
2019-06-23,13.909704
2019-06-24,13.91556
2019-06-25,13.918417
2019-06-26,13.918879
2019-06-27,13.916908
2019-06-28,13.913268
2019-06-29,13.908399
2019-06-30,13.90283
2019-07-01,13.895908
2019-07-02,13.890026
2019-07-03,13.882673
2019-07-04,13.876358
2019-07-05,13.869857
